iter	Passed	Remaining
0	1	131
1	2	123
2	3	118
3	4	114
4	5	113
5	7	113
6	8	111
7	10	116
8	11	112
9	12	109
10	13	106
11	14	106
12	15	105
13	17	106
14	18	107
15	20	106
16	21	105
17	22	104
18	24	104
19	26	104
20	27	103
21	28	102
22	30	101
23	31	100
24	33	99
25	34	97
26	35	96
27	36	94
28	37	92
29	39	91
30	40	90
31	41	88
32	42	86
33	44	85
34	45	84
35	46	82
36	47	81
37	48	79
38	50	78
39	51	76
40	52	75
41	53	73
42	54	72
43	55	70
44	56	69
45	58	68
46	59	66
47	60	65
48	62	64
49	63	63
50	64	62
51	66	61
52	67	59
53	68	58
54	69	57
55	71	55
56	72	54
57	73	53
58	75	52
59	76	50
60	77	49
61	78	48
62	80	47
63	81	45
64	83	44
65	84	43
66	85	42
67	87	41
68	88	39
69	89	38
70	91	37
71	92	35
72	93	34
73	95	33
74	96	32
75	97	30
76	99	29
77	100	28
78	102	27
79	103	25
80	104	24
81	106	23
82	107	22
83	108	20
84	110	19
85	111	18
86	113	16
87	114	15
88	115	14
89	117	13
90	118	11
91	120	10
92	121	9
93	123	7
94	124	6
95	125	5
96	126	3
97	127	2
98	129	1
99	130	0
